user_id,user_code,email,gender,age,city_id,join_date,membership_tier,wallet_balance_inr,is_fleet_user
1,USR-00001,user1@evmail.in,Other,23,6,2021-11-19,Silver,1800.24,No
2,USR-00002,user2@evmail.in,Male,35,9,2021-04-01,Platinum,1095.6,Yes
3,USR-00003,user3@evmail.in,Other,59,10,2021-07-14,Gold,3763.71,Yes
4,USR-00004,user4@evmail.in,Other,60,8,2021-10-27,Platinum,2701.77,No
5,USR-00005,user5@evmail.in,Other,40,5,2021-12-19,Gold,1512.26,Yes
6,USR-00006,user6@evmail.in,Female,60,2,2021-12-21,Silver,2317.84,Yes
7,USR-00007,user7@evmail.in,Male,38,7,2022-03-11,Silver,3566.44,No
8,USR-00008,user8@evmail.in,Other,45,4,2021-03-09,Gold,3083.7,No
9,USR-00009,user9@evmail.in,Other,31,3,2021-07-12,Basic,1104.74,No
10,USR-00010,user10@evmail.in,Female,61,10,2021-04-20,Silver,3388.6,Yes
11,USR-00011,user11@evmail.in,Male,28,6,2022-12-09,Basic,2969.31,No
12,USR-00012,user12@evmail.in,Female,40,10,2021-02-10,Gold,3896.89,Yes
13,USR-00013,user13@evmail.in,Male,43,3,2022-01-27,Platinum,2172.01,No
14,USR-00014,user14@evmail.in,Other,47,1,2021-11-15,Silver,4952.33,No
15,USR-00015,user15@evmail.in,Male,37,7,2021-09-06,Platinum,1233.07,No
16,USR-00016,user16@evmail.in,Other,18,10,2022-10-02,Silver,2638.69,Yes
17,USR-00017,user17@evmail.in,Female,42,5,2022-08-04,Silver,763.52,No
18,USR-00018,user18@evmail.in,Female,33,6,2021-06-01,Platinum,1474.78,No
19,USR-00019,user19@evmail.in,Other,34,4,2021-05-01,Gold,4584.77,No
20,USR-00020,user20@evmail.in,Other,54,1,2022-06-10,Gold,1601.93,No
21,USR-00021,user21@evmail.in,Female,60,7,2021-12-27,Gold,991.93,No
22,USR-00022,user22@evmail.in,Female,31,1,2021-07-25,Basic,267.88,Yes
23,USR-00023,user23@evmail.in,Male,65,1,2021-02-22,Platinum,4700.07,No
24,USR-00024,user24@evmail.in,Other,65,7,2022-05-20,Silver,1754.62,No
25,USR-00025,user25@evmail.in,Other,63,8,2022-06-06,Silver,850.06,Yes
26,USR-00026,user26@evmail.in,Female,35,5,2021-08-02,Silver,2991.95,Yes
27,USR-00027,user27@evmail.in,Female,18,7,2021-02-17,Basic,2901.3,Yes
28,USR-00028,user28@evmail.in,Female,53,10,2022-12-22,Platinum,1981.65,Yes
29,USR-00029,user29@evmail.in,Other,27,8,2022-06-03,Platinum,1547.71,No
30,USR-00030,user30@evmail.in,Other,62,9,2021-05-27,Silver,3322.37,No
31,USR-00031,user31@evmail.in,Other,35,10,2021-12-26,Basic,2421.72,No
32,USR-00032,user32@evmail.in,Other,19,1,2021-04-10,Silver,2478.24,No
33,USR-00033,user33@evmail.in,Other,60,5,2021-01-07,Gold,3192.5,Yes
34,USR-00034,user34@evmail.in,Female,49,1,2022-03-15,Silver,3578.86,No
35,USR-00035,user35@evmail.in,Female,34,7,2021-05-23,Platinum,3963.88,Yes
36,USR-00036,user36@evmail.in,Other,21,9,2021-10-07,Gold,653.84,Yes
37,USR-00037,user37@evmail.in,Female,40,6,2021-11-29,Basic,2765.63,No
38,USR-00038,user38@evmail.in,Other,46,9,2022-02-25,Platinum,452.85,Yes
39,USR-00039,user39@evmail.in,Male,34,8,2022-03-27,Gold,216.98,No
40,USR-00040,user40@evmail.in,Other,31,9,2022-02-09,Basic,1975.36,No
41,USR-00041,user41@evmail.in,Male,20,1,2022-08-01,Platinum,1402.09,Yes
42,USR-00042,user42@evmail.in,Female,32,5,2022-05-19,Gold,1255.68,No
43,USR-00043,user43@evmail.in,Male,25,10,2022-01-29,Silver,4101.24,No
44,USR-00044,user44@evmail.in,Male,50,7,2022-11-30,Platinum,317.49,Yes
45,USR-00045,user45@evmail.in,Female,44,4,2022-01-28,Gold,1908.8,Yes
46,USR-00046,user46@evmail.in,Male,31,5,2021-05-10,Platinum,2011.81,No
47,USR-00047,user47@evmail.in,Female,65,5,2021-09-18,Basic,3285.37,Yes
48,USR-00048,user48@evmail.in,Male,29,7,2022-10-10,Basic,4062.45,Yes
49,USR-00049,user49@evmail.in,Other,43,4,2021-05-23,Gold,4895.17,No
50,USR-00050,user50@evmail.in,Other,22,9,2021-01-03,Basic,212.03,No
51,USR-00051,user51@evmail.in,Other,56,2,2022-02-14,Silver,1074.29,No
52,USR-00052,user52@evmail.in,Female,63,3,2021-06-24,Platinum,6.35,Yes
53,USR-00053,user53@evmail.in,Female,65,9,2022-02-14,Basic,3832.1,Yes
54,USR-00054,user54@evmail.in,Female,48,3,2021-05-11,Silver,3949.09,Yes
55,USR-00055,user55@evmail.in,Male,29,2,2022-12-01,Gold,4053.23,No
56,USR-00056,user56@evmail.in,Male,41,2,2021-06-26,Basic,1923.83,Yes
57,USR-00057,user57@evmail.in,Other,54,10,2022-03-05,Basic,948.46,No
58,USR-00058,user58@evmail.in,Female,39,6,2022-11-25,Basic,2877.93,Yes
59,USR-00059,user59@evmail.in,Other,46,10,2021-11-06,Basic,2508.33,No
60,USR-00060,user60@evmail.in,Male,52,2,2021-08-25,Basic,3210.05,Yes
61,USR-00061,user61@evmail.in,Other,28,10,2022-06-07,Gold,86.36,Yes
62,USR-00062,user62@evmail.in,Male,27,10,2021-10-26,Silver,1037.68,Yes
63,USR-00063,user63@evmail.in,Female,54,2,2022-06-16,Gold,815.97,Yes
64,USR-00064,user64@evmail.in,Female,20,1,2021-06-04,Basic,4718.35,Yes
65,USR-00065,user65@evmail.in,Male,48,8,2021-02-08,Platinum,1816.08,No
66,USR-00066,user66@evmail.in,Other,46,7,2022-07-27,Gold,2704.51,No
67,USR-00067,user67@evmail.in,Male,62,7,2022-09-15,Silver,4525.58,Yes
68,USR-00068,user68@evmail.in,Male,21,1,2021-03-07,Platinum,2959.54,No
69,USR-00069,user69@evmail.in,Female,49,2,2021-10-19,Basic,840.09,Yes
70,USR-00070,user70@evmail.in,Male,59,9,2021-10-17,Basic,2710.21,Yes
71,USR-00071,user71@evmail.in,Other,59,3,2021-02-16,Silver,4374.01,Yes
72,USR-00072,user72@evmail.in,Male,38,4,2022-11-02,Gold,2918.58,No
73,USR-00073,user73@evmail.in,Male,45,10,2022-08-16,Silver,1105.81,No
74,USR-00074,user74@evmail.in,Female,53,6,2021-04-27,Basic,4229.09,No
75,USR-00075,user75@evmail.in,Female,53,2,2021-05-27,Basic,4834.43,No
76,USR-00076,user76@evmail.in,Male,23,1,2022-01-14,Basic,704.91,Yes
77,USR-00077,user77@evmail.in,Male,51,4,2021-10-26,Basic,2024.74,No
78,USR-00078,user78@evmail.in,Other,18,2,2021-01-26,Gold,1275.54,No
79,USR-00079,user79@evmail.in,Other,22,1,2021-06-26,Platinum,4535.18,No
80,USR-00080,user80@evmail.in,Male,35,1,2021-06-15,Platinum,2819.61,No
